"id","type","belongs_to","title","presented_by",author_sort_override,"room","time_start","time_end"
"0","plenary","main","Opening Session","Chair: Christiane Tretter, Raphael Sznitman",,"S003","08:45","09:00"
"1","keynote","main","Topological Data Analysis: extracting insights from the “shape” of data ","Kathryn Hess Bellwald (Chair: David Ginsbourger)",Hess Bellwald,"S003","09:00","10:00"
"2","keynote","main","Bayes in the sky: the search for life in the universe","Brice-Olivier Demory (Chair: Michael Toscano)",Demory,"S003","13:00","14:00"
"3","presentation_session_a","main","Morning Oral Presentations Session","Chair: Athina Tzovara",,"S003","11:15","12:00"
"4","presentation_session_b","main","Afternoon Oral Presentations Session","Chair: Costanza Naguib",,"S003","14:00","15:00"
"5","presentation","presentation_session_a","Solar Flare prediction with Machine Learning based on Satellite data","Jonas Zbinden",,"S003","11:15","11:30"
"6","presentation","presentation_session_a","Generating Astronomical Spectra from Photometry with Conditional Diffusion Models","Lars Doorenbos",,"S003","11:30","11:45"
"7","presentation","presentation_session_b","Glaucoma Stage Progression Predictor","Marta Colmenar Herrera",Colmenar Herrera,"S003","14:15","14:30"
"8","presentation","presentation_session_b","Estimating time-dependent transmission rates of SARS-COV-2 using Brownian motion, splines and Gaussian processes in a Bayesian SIR-type model","Judith Bouman",,"S003","14:00","14:15"
"9","presentation","presentation_session_b","AI for sleep scoring: moving towards integration in the clinic","Florence M. Aellen",,"S003","14:30","14:45"
"10","presentation","presentation_session_a","Dynamic Federated Learning for Heterogeneous Learning Environments","Eric Samikwa",,"S003","11:45","12:00"
"11","presentation","presentation_session_b","Deep learning based Monte Carlo Dose Denoising for Radiation Therapy","Raphael Joost",,"S003","14:45","15:00"
"12","poster","poster_session_b","Generating Astronomical Spectra from Photometry with Conditional Diffusion Models","Lars Doorenbos",,"S003","15:15","15:35"
"13","poster","poster_session_a","Glaucoma Stage Progression Predictor","Marta Colmenar Herrera",Colmenar Herrera,"S003","10:15","10:35"
"14","poster","poster_session_a","Estimating time-dependent transmission rates of SARS-COV-2 using Brownian motion, splines and Gaussian processes in a Bayesian SIR-type model","Judith Bouman",,"S003","10:40","11:00"
"15","poster","poster_session_a","AI for sleep scoring: moving towards integration in the clinic","Florence M Aellen",,"S003","10:15","10:35"
